Date,Tmean (degC),Tmax (degC),Tmin (degC),Humidity Mean (%),Wind Speed Mean (m/s),Wind Direction Mean (deg),"Light Mean (lux, daytime>0)",Radiation (MJ/m2/day),ETo (mm/day),Kc,ETc (mm/day),ETo_Refined,ETc_Refined
2025-11-01,26.55,31.0,24.0,91.79,0.69,191.48,21340.41,7.31,8.62,0.6,5.17,1.7815434654812115,1.0689260792887267
2025-11-02,27.02,34.0,23.6,87.23,0.6,194.9,37692.75,13.66,10.58,0.6,6.35,3.3129211860127574,1.9877527116076543
2025-11-03,26.93,33.5,23.9,86.78,0.48,169.23,27502.57,9.38,10.11,0.6,6.07,2.3238581114205408,1.3943148668523244
2025-11-04,26.55,31.5,24.1,85.19,0.49,172.17,26679.81,9.27,8.77,0.6,5.26,2.3015584929871373,1.3809350957922824
2025-11-05,26.73,31.2,23.3,82.34,0.38,180.76,24154.08,8.94,9.07,0.6,5.44,2.2301405038178115,1.3380843022906868
2025-11-06,27.97,32.7,24.4,79.45,0.49,157.79,29926.01,10.29,9.53,0.6,5.72,2.6533909599574113,1.5920345759744468
2025-11-07,27.64,30.3,25.9,85.72,0.62,148.65,17806.69,6.19,6.86,0.6,4.12,1.6415603979498328,0.9849362387698997
2025-11-08,26.84,31.9,24.4,84.88,0.55,171.17,23716.72,8.0,8.77,0.6,5.26,2.0419315118167436,1.2251589070900462
2025-11-09,28.59,34.7,25.2,85.04,0.31,192.18,27024.36,9.32,10.23,0.6,6.14,2.33952200669374,1.4037132040162439
2025-11-10,28.62,33.8,25.4,85.24,0.34,226.3,28115.29,9.98,9.59,0.6,5.76,2.4978643566876695,1.4987186140126016
2025-11-11,28.67,34.7,24.5,83.25,0.35,176.52,33697.23,11.54,10.55,0.6,6.33,2.891130409977331,1.7346782459863987
2025-11-12,28.57,35.5,25.6,85.06,0.26,189.54,22130.26,7.8,10.34,0.6,6.2,1.9694240610667053,1.1816544366400232
2025-11-13,27.53,33.0,24.6,86.48,0.57,163.97,30183.78,10.87,9.28,0.6,5.57,2.6990240034401785,1.619414402064107
2025-11-14,27.98,32.8,24.2,76.86,0.52,168.71,31154.01,10.67,9.45,0.6,5.67,2.787795423794133,1.6726772542764798
2025-11-15,25.75,30.9,20.5,72.59,0.71,152.58,40334.74,14.02,9.86,0.6,5.92,3.573787573113791,2.1442725438682744
2025-11-16,27.56,32.3,23.6,71.16,1.01,157.19,37282.01,13.05,9.37,0.6,5.62,3.6309870124805785,2.178592207488347
2025-11-17,26.62,30.1,24.7,78.55,0.9,144.54,15546.19,5.4,7.21,0.6,4.32,1.6789851889519252,1.007391113371155
2025-11-18,26.65,29.9,24.9,79.29,1.26,145.49,20617.07,7.01,6.92,0.6,4.15,2.1445631977932904,1.2867379186759742
2025-11-19,26.32,29.5,24.3,69.46,1.68,147.63,32040.15,10.97,6.98,0.6,4.19,3.470129599150565,2.082077759490339
2025-11-20,24.09,27.1,21.6,67.17,1.51,148.14,26631.67,9.32,6.8,0.6,4.08,2.9755373400703484,1.785322404042209
2025-11-21,24.19,26.6,22.5,64.64,1.49,133.48,23706.47,8.3,5.87,0.8,4.7,2.8517767033828907,2.2814213627063125
2025-11-22,25.42,30.0,22.2,63.16,1.11,150.55,41738.37,14.61,8.31,0.8,6.65,4.105271907975496,3.284217526380397
2025-11-23,25.98,30.8,22.1,68.84,1.08,143.95,38160.24,13.36,8.87,0.8,7.1,3.700965331827718,2.9607722654621744
2025-11-24,27.14,32.1,23.6,69.66,1.1,142.61,32985.76,10.79,8.98,0.8,7.18,3.2104908831091525,2.568392706487322
2025-11-25,25.76,29.5,23.2,66.56,0.94,153.88,26513.15,9.08,7.48,0.8,5.98,2.742543767664063,2.1940350141312503
2025-11-26,25.08,30.3,21.3,64.87,0.74,153.48,36053.54,12.8,8.78,0.8,7.02,3.444502989705829,2.755602391764663
2025-11-27,24.38,28.9,20.9,58.79,1.32,149.18,38449.2,13.17,8.12,0.8,6.5,3.9737415963086944,3.178993277046956
2025-11-28,21.71,27.5,17.2,55.48,0.89,149.28,36723.65,12.21,8.61,0.8,6.89,3.401860168970348,2.7214881351762785
2025-11-29,22.03,29.7,15.2,64.8,0.59,182.71,38486.09,13.37,10.28,0.8,8.22,3.317917223887868,2.6543337791102943
2025-11-30,23.13,31.1,17.1,71.73,0.52,193.59,38502.24,13.86,10.36,0.8,8.29,3.364635138220291,2.691708110576233
2025-12-01,24.81,32.1,19.0,74.14,0.47,188.7,36530.4,13.15,10.41,0.8,8.33,3.239183960105398,2.5913471680843188
2025-12-02,25.65,33.6,20.0,78.56,0.36,196.2,34532.64,11.31,10.8,0.8,8.64,2.77934719031433,2.223477752251464
2025-12-03,27.32,34.9,21.3,78.6,0.43,169.28,34616.4,11.08,11.19,0.8,8.96,2.8141362244589674,2.251308979567174
